time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-30 00:00:00+00:00,0,0,2,2
2022-01-01 00:00:00+00:00,2,1,0,0
2022-01-03 00:00:00+00:00,1,1,1,1
2022-01-04 00:00:00+00:00,0,0,2,2
2022-01-05 00:00:00+00:00,1,1,18,6
2022-01-06 00:00:00+00:00,0,0,7,7
2022-01-07 00:00:00+00:00,0,0,7,6
2022-01-08 00:00:00+00:00,2,1,0,0
2022-01-10 00:00:00+00:00,0,0,1,1
2022-01-11 00:00:00+00:00,0,0,2,2
2022-01-12 00:00:00+00:00,0,0,22,3
2022-01-13 00:00:00+00:00,0,0,8,4
2022-01-14 00:00:00+00:00,0,0,2,1
2022-01-16 00:00:00+00:00,3,2,6,1
2022-01-17 00:00:00+00:00,1,1,3,2
2022-01-19 00:00:00+00:00,0,0,1,1
2022-01-20 00:00:00+00:00,0,0,2,2
2022-01-21 00:00:00+00:00,0,0,1,1
2022-01-26 00:00:00+00:00,3,1,0,0
2022-01-27 00:00:00+00:00,0,0,34,7
2022-01-29 00:00:00+00:00,0,0,1,1
2022-02-01 00:00:00+00:00,6,1,11,1
2022-02-02 00:00:00+00:00,4,3,33,2
2022-02-03 00:00:00+00:00,9,4,53,9
2022-02-04 00:00:00+00:00,1,1,11,9
2022-02-05 00:00:00+00:00,0,0,3,3
2022-02-06 00:00:00+00:00,0,0,4,4
2022-02-07 00:00:00+00:00,0,0,48,18
2022-02-08 00:00:00+00:00,0,0,19,6
2022-02-09 00:00:00+00:00,0,0,22,7
2022-02-10 00:00:00+00:00,0,0,5,3
2022-02-11 00:00:00+00:00,0,0,27,4
2022-02-12 00:00:00+00:00,0,0,1,1
2022-02-14 00:00:00+00:00,4,1,4,4
2022-02-16 00:00:00+00:00,2,2,16,4
2022-02-17 00:00:00+00:00,5,4,5,4
2022-02-18 00:00:00+00:00,0,0,2,1
2022-02-19 00:00:00+00:00,0,0,2,2
2022-02-21 00:00:00+00:00,0,0,2,2
2022-02-22 00:00:00+00:00,3,1,2,2
2022-02-23 00:00:00+00:00,0,0,38,3
2022-02-24 00:00:00+00:00,0,0,1,1
2022-02-25 00:00:00+00:00,2,1,8,4
2022-02-27 00:00:00+00:00,0,0,1,1
2022-03-01 00:00:00+00:00,0,0,3,2
2022-03-02 00:00:00+00:00,10,2,2,1
2022-03-03 00:00:00+00:00,1,1,5,5
2022-03-07 00:00:00+00:00,0,0,4,4
2022-03-08 00:00:00+00:00,0,0,34,3
2022-03-10 00:00:00+00:00,0,0,1,1
2022-03-11 00:00:00+00:00,0,0,1,1
2022-03-12 00:00:00+00:00,1,1,5,2
2022-03-14 00:00:00+00:00,1,1,3,3
2022-03-15 00:00:00+00:00,3,2,0,0
2022-03-16 00:00:00+00:00,1,1,1,1
2022-03-17 00:00:00+00:00,0,0,1,1
2022-03-18 00:00:00+00:00,3,3,0,0
